locus,genome
5469,A353
5477,A353
5489,A353
5502,A353
5513,A353
5528,A353
5531,A353
5536,A353
5551,A353
5554,A353
5562,A353
5578,A353
5594,A353
5596,A353
5599,A353
5614,A353
5620,A353
5634,A353
5639,A353
5642,A353
5644,A353
5656,A353
5660,A353
5664,A353
5670,A353
5699,A353
5702,A353
5703,A353
5716,A353
5721,A353
5733,A353
5744,A353
5770,A353
5772,A353
5791,A353
5802,A353
5815,A353
5816,A353
5821,A353
5822,A353
5840,A353
5841,A353
5842,A353
5843,A353
5849,A353
5853,A353
5857,A353
5858,A353
5859,A353
5865,A353
5866,A353
5870,A353
5893,A353
5894,A353
5899,A353
5910,A353
5913,A353
5918,A353
5919,A353
5921,A353
5922,A353
5926,A353
5933,A353
5936,A353
5940,A353
5941,A353
5942,A353
5943,A353
5944,A353
5945,A353
5949,A353
5950,A353
5958,A353
5960,A353
5968,A353
5974,A353
5977,A353
5980,A353
5981,A353
5990,A353
5G01360,B764
5G01380,B764
5G02270,B764
5G02480,B764
5G02810,B764
5G02820,B764
5G03070,B764
5G03280,B764
5G03430,B764
5G04360,B764
5G04480,B764
5G04550,B764
5G04710,B764
5G04930,B764
5G05200,B764
5G05680,B764
5G05840,B764
5G06120,B764
5G06830,B764
5G06940,B764
5G06970,B764
5G07590,B764
5G08030,B764
5G08280,B764
5G08310,B764
5G08415,B764
5G08490,B764
5G08530,B764
5G08580,B764
5G08660,B764
5G10900,B764
5G10920,B764
5G11040,B764
5G11330,B764
5G11380,B764
5G11390,B764
5G11560,B764
5G11960,B764
5G12040,B764
5G12290,B764
5G12470,B764
5G12900,B764
5G13020,B764
5G13030,B764
5G13230,B764
5G13420,B764
5G13530,B764
5G13560,B764
5G13630,B764
5G13640,B764
5G13680,B764
5G13690,B764
5G13770,B764
5G14210,B764
5G14230,B764
5G14450,B764
5G14510,B764
5G14700,B764
5G14760,B764
5G14950,B764
5G15300,B764
5G15400,B764
5G15540,B764
5G15710,B764
5G15880,B764
5G16210,B764
5G16280,B764
5G16300,B764
5G16310,B764
5G16420,B764
5G17230,B764
5G17250,B764
5G17290,B764
5G17530,B764
5G17620,B764
5G17860,B764
5G18525,B764
5G18570,B764
5G18580,B764
5G18670,B764
5G18700,B764
5G18830,B764
5G19130,B764
5G19180,B764
5G19350,B764
5G19610,B764
5G19640,B764
5G19680,B764
5G19690,B764
5G19730,B764
5G20170,B764
5G20270,B764
5G20350,B764
5G20890,B764
5G20990,B764
5G21930,B764
5G21970,B764
