SAMPLE	SPECIES_NAME_PRINT	FAMILY	TRIBE	SUPERTRIBE	GENUS	Type_status	loci_remaining
SRR5116720	Boechera spatifolia	Brassicaceae	Boechereae	Camelinodae (I)	Boechera		780
JB182	Boechera spatifolia	Brassicaceae	Boechereae	Camelinodae (I)	Boechera		1143
SRR5116722	Boechera spatifolia	Brassicaceae	Boechereae	Camelinodae (I)	Boechera		1224
SRR5116725	Boechera spatifolia	Brassicaceae	Boechereae	Camelinodae (I)	Boechera		1224
SRR5116730	Boechera spatifolia	Brassicaceae	Boechereae	Camelinodae (I)	Boechera		1223
SRR5116719	Boechera spatifolia	Brassicaceae	Boechereae	Camelinodae (I)	Boechera		1225
SRR5116723	Boechera spatifolia	Brassicaceae	Boechereae	Camelinodae (I)	Boechera		1225
SRR5116727	Boechera spatifolia	Brassicaceae	Boechereae	Camelinodae (I)	Boechera		1224
SRR5116724	Boechera spatifolia	Brassicaceae	Boechereae	Camelinodae (I)	Boechera		1223
SRR11470317	Boechera stricta	Brassicaceae	Boechereae	Camelinodae (I)	Boechera		1028
SRR11470325	Boechera stricta	Brassicaceae	Boechereae	Camelinodae (I)	Boechera		1039
SRR11470322	Boechera stricta	Brassicaceae	Boechereae	Camelinodae (I)	Boechera		1046
FW284	Boechera stricta	Brassicaceae	Boechereae	Camelinodae (I)	Boechera		1221
JB1287	Boechera subpinnatifida	Brassicaceae	Boechereae	Camelinodae (I)	Boechera		1217
JB967	Boechera suffrutescens	Brassicaceae	Boechereae	Camelinodae (I)	Boechera	Topotype	1169
S3646	Boechera tiehmii	Brassicaceae	Boechereae	Camelinodae (I)	Boechera		1195
S3647	Boechera tularensis	Brassicaceae	Boechereae	Camelinodae (I)	Boechera		1183
S4391	Boechera ultraalsa	Brassicaceae	Boechereae	Camelinodae (I)	Boechera		1205
JB1624	Boechera williamsii	Brassicaceae	Boechereae	Camelinodae (I)	Boechera	Topotype	1224
S0364	Boechera xylopoda	Brassicaceae	Boechereae	Camelinodae (I)	Boechera		1146
S3649	Boechera xylopoda	Brassicaceae	Boechereae	Camelinodae (I)	Boechera		1217
S1369	Boechera yorkii	Brassicaceae	Boechereae	Camelinodae (I)	Boechera	Isotype	1221
S3650	Boechera zephyra	Brassicaceae	Boechereae	Camelinodae (I)	Boechera		1217
S3042	Borealandea ecuadoriana	Brassicaceae	Eudemeae	Heliophilodae (V)	Borealandea		1148
S1803	Borealandea nubigena	Brassicaceae	Eudemeae	Heliophilodae (V)	Borealandea		1204
S3193	Bornmuellera ×petri	Brassicaceae	Alysseae	Arabodae (IV)	Bornmuellera		1057
S2826	Bornmuellera angustifolia	Brassicaceae	Alysseae	Arabodae (IV)	Bornmuellera		1184
S0309	Bornmuellera baldaccii	Brassicaceae	Alysseae	Arabodae (IV)	Bornmuellera		1073
S1151	Bornmuellera cappadocica	Brassicaceae	Alysseae	Arabodae (IV)	Bornmuellera		803
S1084	Bornmuellera dieckii	Brassicaceae	Alysseae	Arabodae (IV)	Bornmuellera		1104
S0328	Bornmuellera emarginata	Brassicaceae	Alysseae	Arabodae (IV)	Bornmuellera		1109
S2775	Bornmuellera glabrescens	Brassicaceae	Alysseae	Arabodae (IV)	Bornmuellera		1133
S2030	Bornmuellera glabrescens	Brassicaceae	Alysseae	Arabodae (IV)	Bornmuellera		
S4266	Bornmuellera kiyakii	Brassicaceae	Alysseae	Arabodae (IV)	Bornmuellera		1093
S0308	Bornmuellera tymphaea	Brassicaceae	Alysseae	Arabodae (IV)	Bornmuellera		1101
FW1139	Borodinia burkii	Brassicaceae	Boechereae	Camelinodae (I)	Borodinia		1222
JB1176	Borodinia canadensis	Brassicaceae	Boechereae	Camelinodae (I)	Borodinia		1223
FW1254	Borodinia dentata	Brassicaceae	Boechereae	Camelinodae (I)	Borodinia		1213
JB234	Borodinia laevigata	Brassicaceae	Boechereae	Camelinodae (I)	Borodinia		1221
S0690	Borodinia macrophylla	Brassicaceae	Boechereae	Camelinodae (I)	Borodinia		1058
FW1702	Borodinia missouriensis	Brassicaceae	Boechereae	Camelinodae (I)	Borodinia		1099
S3636	Borodinia missouriensis	Brassicaceae	Boechereae	Camelinodae (I)	Borodinia		1215
CR1033	Borodinia perstellata	Brassicaceae	Boechereae	Camelinodae (I)	Borodinia	Topotype	1219
S2865	Borodinia perstellata	Brassicaceae	Boechereae	Camelinodae (I)	Borodinia	Topotype	1200
FW1036	Borodinia serotina	Brassicaceae	Boechereae	Camelinodae (I)	Borodinia		1079
PAFTOL_023453	Boscia albitrunca	Capparaceae			Boscia		999
S0770	Botschantzevia karatavica	Brassicaceae	Arabideae	Arabodae (IV)	Botschantzevia		1110
S1707	Brachypus suffruticosus	Brassicaceae	Alysseae	Arabodae (IV)	Brachypus		869
S0808	Brachypus suffruticosus	Brassicaceae	Alysseae	Arabodae (IV)	Brachypus		
S3852	Brassica aucheri	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1200
S1222	Brassica aucheri	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1164
S2554	Brassica baldensis	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1167
S1206	Brassica balearica	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1177
23R29	Brassica balearica	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1110
S0365	Brassica balearica	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1215
S1311	Brassica barrelieri	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1169
S0872	Brassica barrelieri	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		
S4353	Brassica bivoniana	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1138
S0912	Brassica bourgaei	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1213
S2400	Brassica cadmea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		590
S1225	Brassica cadmea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		
SRR17685784	Brassica cretica	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		879
SRR23282496	Brassica cretica	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1094
S0785	Brassica cretica	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1187
SRR24208603	Brassica cretica	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1214
SRR9331106	Brassica cretica subsp. cretica	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1210
SRR9331105	Brassica cretica subsp. cretica	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1107
SRR9331103	Brassica cretica subsp. nivea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1214
SRR9331104	Brassica cretica subsp. nivea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1106
S3860	Brassica deflexa	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1157
S4027	Brassica deflexa	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1175
S0870	Brassica deflexa	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		
S4264	Brassica deserti	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica	ISOTYPE	74
S4553	Brassica deserti	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1208
S3565	Brassica desnottesii	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1146
S3989	Brassica dimorpha	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		492
S3987	Brassica dimorpha	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1184
S3280	Brassica drepanensis	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		999
S2464	Brassica drepanensis	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		122
SRR14525677	Brassica fruticulosa	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1218
23Q04	Brassica fruticulosa	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1125
S0852	Brassica fruticulosa	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		
S3274	Brassica glabrescens	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1138
S2490	Brassica glabrescens	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1139
S3831	Brassica gravinae	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1127
S4355	Brassica gravinae	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1143
S3881	Brassica gravinae	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1146
S1017	Brassica gravinae	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1158
SRR23263284	Brassica gravinae	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		
S0919	Brassica hilarionis	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1193
SRR6453871	Brassica hilarionis	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		113
S2460	Brassica incana	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		408
SRR23282495	Brassica incana	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1135
S3862	Brassica incana	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1174
ERR9941663	Brassica incana	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1217
ERR9941668	Brassica incana	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1217
ERR9941672	Brassica incana	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1216
ERR9941678	Brassica incana	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1217
SRR24208608	Brassica incana	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1214
S1606	Brassica incana	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		51
SRR6453782	Brassica incana	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		112
ERR9941661	Brassica incana	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1216
ERR9941657	Brassica incana	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1214
ERR9941662	Brassica incana	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1214
ERR9941677	Brassica incana	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1216
ERR9941659	Brassica incana	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1214
S1016	Brassica incana	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		
S2033	Brassica incana	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		
S0457	Brassica insularis	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		789
RB39	Brassica insularis	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		879
SRR24208605	Brassica insularis	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1213
SRR6453800	Brassica insularis	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		111
SRR6453595	Brassica insularis	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		112
SRR6453573	Brassica insularis	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		111
SRR6453801	Brassica insularis	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		114
S3716	Brassica jordanoffii	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1144
S2028	Brassica jordanoffii	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		
SRR14278739	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1009
SRR14278678	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		904
SRR2050308	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1120
SRR2054713	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		207
SRR2050360	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		696
SRR2057939	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1154
SRR2050321	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1076
SRR11963464	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1176
SRR2057913	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1105
SRR11963465	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1185
SRR2057933	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1201
S3884	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1176
SRR2050310	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1038
SRR2057919	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1100
S0546	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1192
SRR11963223	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1224
SRR11963224	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1218
SRR2057921	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1115
SRR2050307	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1222
S1950	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1191
SRR11747047	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1217
SRR11963273	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1219
SRR2050322	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1129
SRR11963340	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		118
ERR13375462	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		71
SRR11963351	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1218
S1205	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		
S1527	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		
SRR11963298	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		97
SRR11963446	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		110
SRR14278677	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		
SRR14278753	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		
SRR14278762	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		
SRR2050306	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		
SRR2060853	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		
SRR2060899	Brassica juncea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		107
S4174	Brassica loncholoma	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1126
SRR23282484	Brassica macrocarpa	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1079
SRR25737648	Brassica macrocarpa	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		914
SRR4289358	Brassica macrocarpa	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1184
S0918	Brassica macrocarpa	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1149
SRR17685779	Brassica macrocarpa	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		410
SRR6453611	Brassica macrocarpa	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		112
SRR24208602	Brassica macrocarpa	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1215
SRR6453614	Brassica macrocarpa	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		115
S1224	Brassica maurorum	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1195
S0970	Brassica montana	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1129
SRR23282481	Brassica montana	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1121
SRR6453613	Brassica montana	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		114
ERR3853621	Brassica napus	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1215
23Q01	Brassica napus	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1132
S0869	Brassica napus	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1089
23Q02	Brassica napus	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1117
23Q17	Brassica napus	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1196
SRR12846972	Brassica napus	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1217
SRR9302977	Brassica napus	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1219
SRR19691551	Brassica napus	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1215
SRR11600552	Brassica napus	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1193
SRR11600556	Brassica napus	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		
SRR7769048	Brassica napus	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		
SRR9291510	Brassica napus	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		
SRR9300308	Brassica napus	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		
SRR9304968	Brassica napus	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		
SRR6453616	Brassica napus subsp. rapifera	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		116
SRR6454078	Brassica napus subsp. rapifera	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		112
SRR6453622	Brassica napus subsp. rapifera	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		113
SRR6454082	Brassica napus subsp. rapifera	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		113
SRR6454084	Brassica napus subsp. rapifera	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		113
SRR6454049	Brassica napus subsp. rapifera	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		111
SRR18324159	Brassica napus subsp. rapifera	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1213
SRR6453929	Brassica napus subsp. rapifera	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		112
SRR6454077	Brassica napus subsp. rapifera	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		112
SRR6454081	Brassica napus subsp. rapifera	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		115
SRR6454124	Brassica napus subsp. rapifera	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		112
SRR6453809	Brassica napus subsp. rapifera	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		117
SRR6454080	Brassica napus subsp. rapifera	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		114
SRR6453931	Brassica napus subsp. rapifera	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		113
SRR6454135	Brassica napus subsp. rapifera	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		110
SRR3420202	Brassica napus var. napus	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		184
SRR3420105	Brassica napus var. napus	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		171
SRR6453967	Brassica napus var. napus	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		111
SRR6453726	Brassica napus var. napus	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		112
SRR3420372	Brassica napus var. napus	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		935
SRR6004388	Brassica napus var. napus	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1215
SRR6453939	Brassica napus var. pabularia	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		114
SRR6453942	Brassica napus var. pabularia	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		112
SRR6453973	Brassica napus var. pabularia	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		114
SRR18324160	Brassica napus var. pabularia	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1211
SRR6453699	Brassica napus var. pabularia	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		112
SRR6453972	Brassica napus var. pabularia	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		112
S0313	Brassica nivalis	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		885
23R25	Brassica oleracea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1117
23Q15	Brassica oleracea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1196
23Q18	Brassica oleracea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1194
23Q19	Brassica oleracea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1183
23Q23	Brassica oleracea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1197
23R13	Brassica oleracea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1114
23Q03	Brassica oleracea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1140
23Q12	Brassica oleracea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1131
23R24	Brassica oleracea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1109
23Q22	Brassica oleracea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1200
23Q24	Brassica oleracea	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1179
S1228	Brassica oleracea (Canary Island Kale)	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1209
S1185	Brassica oleracea (Jersey Kale)	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1206
S1208	Brassica oleracea (nominate)	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		908
SRR17685735	Brassica oleracea var. alboglabra	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		919
SRR17685661	Brassica oleracea var. alboglabra	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		354
SRR17686302	Brassica oleracea var. alboglabra	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		393
SRR17685673	Brassica oleracea var. alboglabra	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		310
SRR17685662	Brassica oleracea var. alboglabra	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		500
SRR17686102	Brassica oleracea var. alboglabra	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		394
SRR17685724	Brassica oleracea var. alboglabra	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		505
SRR17686243	Brassica oleracea var. alboglabra	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		429
SRR27077972	Brassica oleracea var. alboglabra	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1164
SRR27077978	Brassica oleracea var. alboglabra	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1202
SRR27077980	Brassica oleracea var. alboglabra	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1188
SRR17686056	Brassica oleracea var. alboglabra	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		451
SRR17686265	Brassica oleracea var. alboglabra	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		398
SRR27051479	Brassica oleracea var. alboglabra	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		
SRR27062643	Brassica oleracea var. alboglabra	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		
SRR17685884	Brassica oleracea var. botrytis	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1218
SRR17686207	Brassica oleracea var. botrytis	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1108
SRR9703246	Brassica oleracea var. botrytis	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1215
SRR13357079	Brassica oleracea var. botrytis	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1216
SRR13662105	Brassica oleracea var. botrytis	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1216
SRR17685885	Brassica oleracea var. botrytis	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1217
SRR17686206	Brassica oleracea var. botrytis	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1216
SRR9703244	Brassica oleracea var. botrytis	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1216
SRR9703245	Brassica oleracea var. botrytis	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1217
SRR13662108	Brassica oleracea var. botrytis	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1216
SRR9903529	Brassica oleracea var. botrytis	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1215
SRR9703247	Brassica oleracea var. botrytis	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		
SRR9903530	Brassica oleracea var. botrytis	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		
SRR27078371	Brassica oleracea var. capitata	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		291
SRR27077998	Brassica oleracea var. capitata	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		962
SRR27078276	Brassica oleracea var. capitata	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1190
SRR13355052	Brassica oleracea var. capitata	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1217
SRR27078133	Brassica oleracea var. capitata	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1204
SRR27078222	Brassica oleracea var. capitata	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1199
SRR27078235	Brassica oleracea var. capitata	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1217
SRR13662017	Brassica oleracea var. capitata	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1215
SRR27078214	Brassica oleracea var. capitata	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1199
SRR27078216	Brassica oleracea var. capitata	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1203
SRR6453777	Brassica oleracea var. capitata	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		114
SRR6454018	Brassica oleracea var. capitata	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		112
SRR13662006	Brassica oleracea var. capitata	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1210
SRR27078180	Brassica oleracea var. capitata	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1214
SRR6453899	Brassica oleracea var. capitata	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		112
SRR13662032	Brassica oleracea var. capitata	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1209
SRR5493091	Brassica oleracea var. capitata	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		123
SRR27062647	Brassica oleracea var. capitata	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		
SRR27062648	Brassica oleracea var. capitata	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		
SRR27078116	Brassica oleracea var. capitata	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1211
SRR27104151	Brassica oleracea var. capitata	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		
SRR5493081	Brassica oleracea var. capitata	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		132
SRR27078033	Brassica oleracea var. costata	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		859
SRR27078036	Brassica oleracea var. costata	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		853
SRR27078035	Brassica oleracea var. costata	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		944
SRR27078034	Brassica oleracea var. costata	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		844
SRR27078085	Brassica oleracea var. costata	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1091
SRR27078032	Brassica oleracea var. costata	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1009
SRR27078086	Brassica oleracea var. costata	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1107
SRR27051482	Brassica oleracea var. costata	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		
SRR17685562	Brassica oleracea var. gemmifera	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		887
SRR27078271	Brassica oleracea var. gemmifera	Brassicaceae	Brassiceae	Brassicodae (II)	Brassica		1147
