SAMPLE	SPECIES_NAME_PRINT	FAMILY	TRIBE	SUPERTRIBE	GENUS	Type_status	loci_remaining
6896_AE	Rorippa peekelii	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		128
S2906	Rorippa philippiana	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1213
S2522	Rorippa pinnata	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		208
S3739	Rorippa portoricensis	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1191
6896_AM	Rorippa prolifera	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		573
23R31	Rorippa prolifera	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1114
S2918	Rorippa pygmea	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1217
6896_AA	Rorippa pyrenaica	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		381
6896_Y	Rorippa pyrenaica	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1219
6896_Z	Rorippa pyrenaica	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1175
ERR2990233	Rorippa pyrenaica	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		111
S2537	Rorippa ramosa	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1200
6896_S	Rorippa sarmentosa	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1112
6896_T	Rorippa sarmentosa	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		893
6896_U	Rorippa sarmentosa	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		112
6896_W	Rorippa schlechteri	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1071
6896_X	Rorippa schlechteri	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1088
6896_V	Rorippa schlechteri	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		21
S4049	Rorippa sessiliflora	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1195
6896_E	Rorippa sinuata	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1208
S3678	Rorippa sinuata	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1185
6896_BA	Rorippa sinuata	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1205
6896_D	Rorippa sinuata	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1161
6896_F	Rorippa sinuata	Brassicaceae	Cardamineae	Camelinodae (I)	Rorippa		1155
