ACCEPTED	FAMILY	SPECIES_NAME_PRINT	BIONOMIAL	SUBSP_VAR	SUBFAMILY	SUPERTRIBE	TRIBE_FULL	GENUS	GROWTH_FORM	WCVP_WGSRPD_LEVEL_1_native	WCVP_WGSRPD_LEVEL_2_native	WCVP_WGSRPD_LEVEL_3_native	Island_endemic	gbif_matchType	gbif_usageKey	checked_KasperH_if_not_ACCEPTED
Y	Brassicaceae	Cardamine hirsuta	Cardamine hirsuta		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	1, 2, 3, 4	10, 11, 12, 13, 14, 20, 21, 23, 24, 25, 29, 32, 33, 34, 35, 36, 40, 41, 42, 43	ALB, ALG, ASS, AUT, AZO, BAL, BGM, BLR, BLT, BOR, BUL, CHC, CHI, CHM, CHN, CHQ, CHS, CHT, CHX, CMN, CNY, CON, COR, CYP, CZE, DEN, EAI, EHM, ERI, ETH, FIN, FOR, FRA, GAB, GER, GGI, GRB, GRC, HUN, IND, IRE, IRN, IRQ, ITA, KEN, KRI, KRY, LAO, LBS, LBY, MAU, MDR, MLY, MOR, MYA, NCS, NET, NOR, NWG, PAK, PAL, PHI, POL, POR, ROM, RUW, RWA, SAR, SAU, SIC, SOM, SPA, SRL, SUM, SWE, SWI, TAN, TCS, THA, TKM, TUE, TUN, TUR, UGA, UKR, VIE, WHM, YUG, ZAI		EXACT	3046258	
Y	Brassicaceae	Cardamine holmgrenii	Cardamine holmgrenii		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	7	73	ORE		EXACT	3045642	
Y	Brassicaceae	Cardamine hongdeyuana	Cardamine hongdeyuana		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	3	36	CHT		EXACT	10686532	
Y	Brassicaceae	Cardamine hunanensis	Cardamine hunanensis		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	3	36	CHS		EXACT	12232201	
Y	Brassicaceae	Cardamine hupingshanensis	Cardamine hupingshanensis		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	3	36	CHS		EXACT	3045811	
Y	Brassicaceae	Cardamine hydrocotyloides	Cardamine hydrocotyloides		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	3	36	CHC		EXACT	3046238	
Y	Brassicaceae	Cardamine hygrophila	Cardamine hygrophila		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	3	36	CHC, CHN		EXACT	3046223	
Y	Brassicaceae	Cardamine impatiens	Cardamine impatiens		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	1, 3, 4	10, 11, 12, 13, 14, 30, 31, 32, 33, 34, 36, 37, 38, 40	AFG, ALB, ALT, AUT, BGM, BLR, BLT, BUL, CHC, CHM, CHN, CHQ, CHS, CHT, CHX, COR, CZE, DEN, EHM, FIN, FRA, GER, GRB, GRC, HUN, IND, IRE, IRK, IRN, ITA, KAZ, KGZ, KHA, KOR, KRA, KRY, KUR, MON, NCS, NEP, NET, NOR, PAK, POL, PRM, ROM, RUC, RUE, RUS, RUW, SAK, SPA, SWE, SWI, TCS, TKM, TUE, TUR, TZK, UKR, UZB, WHM, WSB, YUG		EXACT	3046187	
Y	Brassicaceae	Cardamine incisa	Cardamine incisa		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H	7	75	CNT		EXACT	3691896	
Y	Brassicaceae	Cardamine insueta	Cardamine insueta		Brassicoideae	Camelinodae (I)	Cardamineae	Cardamine	H			NA		EXACT	3691866	
