parent,node,branch.length,label,CI_date,CI_height,date,q1,pp1,gCF,sCF,isTip,age_Ma,q1_num,pp1_num,gCF_num,sCF_num
3832,3851,1.27087,NA,,,-12.6691,0.687729,1,26.2,46.6,FALSE,12.669213999999997,0.687729,1,26.2,46.6
3851,3852,1.02972,NA,,,-11.6393,0.457235,1,20.6,36.3,FALSE,11.639494,0.457235,1,20.6,36.3
3852,3853,6.93085,NA,,,-4.70849,0.943329,1,86.7,82,FALSE,4.7086439999999925,0.943329,1,86.7,82
3853,3854,3.57192,NA,,,-1.13657,0.94896,1,82.7,87.3,FALSE,1.1367239999999867,0.94896,1,82.7,87.3
3852,3855,11.4045,NA,,,-0.234837,0.997799,1,98.7,99.2,FALSE,0.23499400000000037,0.997799,1,98.7,99.2
3851,3856,8.7462,NA,,,-3.92286,0.972098,1,92.5,87.3,FALSE,3.923013999999995,0.972098,1,92.5,87.3
3856,3857,1.69032,NA,,,-2.23254,0.744396,1,52.9,53.4,FALSE,2.232693999999995,0.744396,1,52.9,53.4
3831,3858,5.06661,NA,,,-8.88331,0.508136,1,12.2,44.4,FALSE,8.883474000000007,0.508136,1,12.2,44.4
3858,3859,1.19238,NA,,,-7.69093,0.835267,1,49.2,63,FALSE,7.691094000000007,0.835267,1,49.2,63
3858,3860,2.61273,NA,,,-6.27058,0.694296,1,30.3,61.3,FALSE,6.270744000000008,0.694296,1,30.3,61.3
3860,3861,0.810228,NA,,,-5.46036,0.370069,0.476131,10.2,32.9,FALSE,5.460516000000013,0.370069,0.476131,10.2,32.9
3861,3862,1.29493,NA,,,-4.16542,0.350009,0.255004,9.64,38.3,FALSE,4.165586000000019,0.350009,0.255004,9.64,38.3
3862,3863,1.646,NA,,,-2.51942,0.52674,1,12,43.9,FALSE,2.519586000000018,0.52674,1,12,43.9
3862,3864,0.791538,NA,,,-3.37388,0.748518,1,35.3,55.3,FALSE,3.374048000000016,0.748518,1,35.3,55.3
3864,3865,0.13077,NA,,,-3.24311,0.387605,0.947643,10.7,39.5,FALSE,3.243278000000018,0.387605,0.947643,10.7,39.5
3865,3866,0.32275,NA,,,-2.92036,0.497735,1,26,37.3,FALSE,2.9205280000000187,0.497735,1,26,37.3
3383,3867,10.5997,NA,,,-9.91377,0.913328,1,77.2,75.4,FALSE,9.913955999999999,0.913328,1,77.2,75.4
3867,3868,3.98323,NA,,,-5.93054,0.848411,1,65.1,62.8,FALSE,5.930725999999993,0.848411,1,65.1,62.8
3382,3869,7.22151,NA,,,-14.7648,0.911642,1,45.4,66.3,FALSE,14.764926000000003,0.911642,1,45.4,66.3
3869,3870,0.720423,NA,,,-14.0443,0.684544,1,26.1,44,FALSE,14.044503000000006,0.684544,1,26.1,44
3870,3871,0.01,NA,,,-14.0343,0.49974,1,14.2,38.6,FALSE,14.034503,0.49974,1,14.2,38.6
3871,3872,0.910434,NA,,,-13.1239,0.410943,0.999998,9.19,40.2,FALSE,13.124069000000006,0.410943,0.999998,9.19,40.2
3872,3873,3.15339,NA,,,-9.97052,0.794915,1,27.6,56,FALSE,9.970679000000004,0.794915,1,27.6,56
3873,3874,2.21763,NA,,,-7.75289,0.548358,1,15.7,39.4,FALSE,7.753049000000004,0.548358,1,15.7,39.4
3874,3875,0.9335,NA,,,-6.81939,0.488918,1,2.01,64.7,FALSE,6.819549000000009,0.488918,1,2.01,64.7
3875,3876,0.01,NA,,,-6.80939,0.319803,0.004004,0,32.1,FALSE,6.809549000000004,0.319803,0.004004,0,32.1
3876,3877,0.01,NA,,,-6.79939,0.760923,1,36.7,65.3,FALSE,6.799548999999999,0.760923,1,36.7,65.3
3877,3878,0.282194,NA,,,-6.5172,0.342116,0.456289,0.0967,36.5,FALSE,6.517354999999995,0.342116,0.456289,0.0967,36.5
3878,3879,0.0675624,NA,,,-6.44964,0.331397,0.192655,0,31.9,FALSE,6.449792599999995,0.331397,0.192655,0,31.9
3879,3880,0.375216,NA,,,-6.07442,0.40253,0.999959,0.194,36.7,FALSE,6.0745766,0.40253,0.999959,0.194,36.7
3880,3881,0.537529,NA,,,-5.53689,0.672823,1,13.8,61.2,FALSE,5.537047599999994,0.672823,1,13.8,61.2
3881,3882,0.01,NA,,,-5.52689,0.385897,0.998846,0.511,35.6,FALSE,5.527047599999989,0.385897,0.998846,0.511,35.6
3882,3883,0.434166,NA,,,-5.09273,0.382446,0.995169,4.06,35.6,FALSE,5.092881599999984,0.382446,0.995169,4.06,35.6
3883,3884,1.09771,NA,,,-3.99502,0.579906,1,21.4,47.5,FALSE,3.9951715999999777,0.579906,1,21.4,47.5
3884,3885,1.41356,NA,,,-2.58146,0.393641,1,0.0955,37.4,FALSE,2.581611599999974,0.393641,1,0.0955,37.4
3881,3886,1.02554,NA,,,-4.51135,0.396111,0.99984,0.548,37.7,FALSE,4.511507599999987,0.396111,0.99984,0.548,37.7
3886,3887,0.23035,NA,,,-4.281,0.470052,0.999993,5.73,45.8,FALSE,4.281157599999986,0.470052,0.999993,5.73,45.8
